,brand,model,top_speed_kmh,battery_capacity_kWh,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type
0,Abarth,500e Convertible,0.15000000000000002,0.17063081695966903,0.17407407407407408,0.1800766283524904,0.16363636363636366,0.2840236686390532,0.1507936507936508,CCS,0.0,0.024303073624017152,0.2857142857142857,FWD,B - Compact,0.023164335664335844,0.15531914893617005,0.28767123287671215,Hatchback
1,Abarth,500e Hatchback,0.15000000000000002,0.17063081695966903,0.17407407407407408,0.15325670498084287,0.16363636363636366,0.2840236686390532,0.1507936507936508,CCS,0.0,0.024303073624017152,0.2857142857142857,FWD,B - Compact,0.023164335664335844,0.15531914893617005,0.28767123287671215,Hatchback
2,Abarth,600e Scorpionissima,0.375,0.3050672182006204,0.25555555555555554,0.1877394636015326,0.26363636363636356,0.2189349112426035,0.19841269841269843,CCS,0.0,0.14939242315939957,0.4285714285714285,FWD,JB - Compact,0.24781468531468542,0.35957446808510607,0.3470319634703194,SUV
3,Abarth,600e Turismo,0.375,0.3050672182006204,0.25555555555555554,0.1877394636015326,0.26363636363636356,0.2366863905325443,0.19841269841269843,CCS,0.0,0.14939242315939957,0.4285714285714285,FWD,JB - Compact,0.24781468531468542,0.35957446808510607,0.3470319634703194,SUV
4,Aiways,U5,0.125,0.4002068252326783,0.22962962962962963,0.1800766283524904,0.32727272727272727,0.31360946745562124,0.19444444444444448,CCS,0.0,0.24660471765546818,0.4285714285714285,FWD,JC - Medium,0.46328671328671334,0.5425531914893615,0.5646879756468799,SUV
5,Aiways,U6,0.17500000000000004,0.4002068252326783,0.2333333333333333,0.15708812260536398,0.3909090909090909,0.2840236686390532,0.19444444444444448,CCS,0.0,0.22944960686204433,0.4285714285714285,FWD,JC - Medium,0.5179195804195804,0.5744680851063828,0.4748858447488584,SUV
6,Alfa,Romeo Junior Elettrica 54 kWh,0.125,0.3050672182006204,0.1925925925925926,0.07279693486590039,0.3363636363636363,0.4023668639053254,0.2222222222222222,CCS,0.0,0.1779842744817727,0.4285714285714285,FWD,JB - Compact,0.2416958041958044,0.36382978723404236,0.30898021308980184,SUV
7,Alfa,Romeo Junior Elettrica 54 kWh Veloce,0.375,0.3050672182006204,0.25555555555555554,0.210727969348659,0.3181818181818181,0.2248520710059171,0.2222222222222222,CCS,0.0,0.1779842744817727,0.4285714285714285,FWD,JB - Compact,0.2416958041958044,0.36382978723404236,0.2678843226788432,SUV
8,Alpine,A290 Electric 180 hp,0.17500000000000004,0.3174767321613237,0.2111111111111111,0.11111111111111116,0.3181818181818181,0.30769230769230765,0.16269841269841273,CCS,0.2,0.12508934953538242,0.4285714285714285,FWD,B - Compact,0.1647727272727273,0.45319148936170217,0.27853881278538806,Hatchback
9,Alpine,A290 Electric 220 hp,0.22499999999999998,0.3174767321613237,0.2222222222222222,0.13409961685823757,0.3090909090909091,0.24852071005917153,0.16269841269841273,CCS,0.2,0.12508934953538242,0.4285714285714285,FWD,B - Compact,0.1647727272727273,0.45319148936170217,0.27853881278538806,Hatchback
10,Audi,A6 Avant e-tron,0.42500000000000004,0.5635987590486038,0.3222222222222222,0.14176245210727967,0.6,0.2248520710059171,0.4801587301587302,CCS,0.8400000000000001,0.2508934953538242,0.4285714285714285,RWD,JE - Executive,0.5716783216783217,0.6659574468085108,0.1917808219178081,Station/Estate
11,Audi,A6 Avant e-tron performance,0.42500000000000004,0.7611168562564634,0.4185185185185185,0.16091954022988508,0.7999999999999999,0.18934911242603547,0.6785714285714285,CCS,0.8400000000000001,0.2508934953538242,0.4285714285714285,RWD,JE - Executive,0.5716783216783217,0.6659574468085108,0.1917808219178081,Station/Estate
12,Audi,A6 Avant e-tron quattro,0.42500000000000004,0.7611168562564634,0.6333333333333333,0.1839080459770115,0.7727272727272726,0.136094674556213,0.6785714285714285,CCS,0.8400000000000001,0.2508934953538242,0.4285714285714285,AWD,JE - Executive,0.5716783216783217,0.6659574468085108,0.1917808219178081,Station/Estate
13,Audi,A6 Sportback e-tron,0.42500000000000004,0.5635987590486038,0.3222222222222222,0.10344827586206895,0.6545454545454545,0.2248520710059171,0.4801587301587302,CCS,0.8400000000000001,0.2508934953538242,0.4285714285714285,RWD,JE - Executive,0.5716783216783217,0.6659574468085108,0.1917808219178081,Liftback Sedan
14,Audi,A6 Sportback e-tron performance,0.42500000000000004,0.7611168562564634,0.4185185185185185,0.12260536398467436,0.8636363636363636,0.18934911242603547,0.6785714285714285,CCS,0.8400000000000001,0.2508934953538242,0.4285714285714285,RWD,JE - Executive,0.5716783216783217,0.6659574468085108,0.1917808219178081,Liftback Sedan
15,Audi,A6 Sportback e-tron quattro,0.42500000000000004,0.7611168562564634,0.6333333333333333,0.14559386973180077,0.8272727272727273,0.14792899408284022,0.6785714285714285,CCS,0.8400000000000001,0.2508934953538242,0.4285714285714285,AWD,JE - Executive,0.5716783216783217,0.6659574468085108,0.1917808219178081,Liftback Sedan
16,Audi,Q4 Sportback e-tron 40,0.17500000000000004,0.38986556359875907,0.22962962962962963,0.1800766283524904,0.3727272727272727,0.34911242603550285,0.32142857142857145,CCS,0.4,0.2637598284488921,0.4285714285714285,RWD,JC - Medium,0.42307692307692335,0.5425531914893615,0.43378995433789935,SUV
