Unnamed: 0,model,top_speed_kmh,battery_capacity_kWh,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,length_mm,width_mm,height_mm,brand_Abarth,brand_Aiways,brand_Alfa,brand_Alpine,brand_Audi,brand_BMW,brand_BYD,brand_CUPRA,brand_Cadillac,brand_Citroen,brand_DS,brand_Dacia,brand_Dongfeng,brand_Elaris,brand_Fiat,brand_Ford,brand_GWM,brand_Genesis,brand_Honda,brand_Hongqi,brand_Hyundai,brand_Jaguar,brand_Jeep,brand_KGM,brand_Kia,brand_Lancia,brand_Leapmotor,brand_Lexus,brand_Lotus,brand_Lucid,brand_Lynk&Co,brand_MG,brand_Maserati,brand_Maxus,brand_Mazda,brand_Mercedes-Benz,brand_Mini,brand_NIO,brand_Nissan,brand_Omoda,brand_Opel,brand_Peugeot,brand_Polestar,brand_Porsche,brand_Renault,brand_Rolls-Royce,brand_Skoda,brand_Skywell,brand_Smart,brand_Subaru,brand_Tesla,brand_Toyota,brand_VinFast,brand_Volkswagen,brand_Volvo,brand_Voyah,brand_XPENG,brand_Zeekr,fast_charge_port_CCS,fast_charge_port_CHAdeMO,segment_A - Mini,segment_B - Compact,segment_C - Medium,segment_D - Large,segment_E - Executive,segment_F - Luxury,segment_G - Sports,segment_I - Luxury,segment_JA - Mini,segment_JB - Compact,segment_JC - Medium,segment_JD - Large,segment_JE - Executive,segment_JF - Luxury,segment_N - Passenger Van,drivetrain_AWD,drivetrain_FWD,drivetrain_RWD,car_body_type_Cabriolet,car_body_type_Coupe,car_body_type_Hatchback,car_body_type_Liftback Sedan,car_body_type_SUV,car_body_type_Sedan,car_body_type_Small Passenger Van,car_body_type_Station/Estate
10,A6 Avant e-tron,0.425,0.5635987590486038,0.3222222222222222,0.1417624521072796,0.6,0.2248520710059171,0.4801587301587302,0.8400000000000001,0.2508934953538242,0.4285714285714285,0.5716783216783217,0.6659574468085108,0.1917808219178081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,A6 Avant e-tron performance,0.425,0.7611168562564634,0.4185185185185185,0.160919540229885,0.7999999999999999,0.1893491124260354,0.6785714285714285,0.8400000000000001,0.2508934953538242,0.4285714285714285,0.5716783216783217,0.6659574468085108,0.1917808219178081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,A6 Avant e-tron quattro,0.425,0.7611168562564634,0.6333333333333333,0.1839080459770115,0.7727272727272726,0.136094674556213,0.6785714285714285,0.8400000000000001,0.2508934953538242,0.4285714285714285,0.5716783216783217,0.6659574468085108,0.1917808219178081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,A6 Sportback e-tron,0.425,0.5635987590486038,0.3222222222222222,0.1034482758620689,0.6545454545454545,0.2248520710059171,0.4801587301587302,0.8400000000000001,0.2508934953538242,0.4285714285714285,0.5716783216783217,0.6659574468085108,0.1917808219178081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,A6 Sportback e-tron performance,0.425,0.7611168562564634,0.4185185185185185,0.1226053639846743,0.8636363636363636,0.1893491124260354,0.6785714285714285,0.8400000000000001,0.2508934953538242,0.4285714285714285,0.5716783216783217,0.6659574468085108,0.1917808219178081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,A6 Sportback e-tron quattro,0.425,0.7611168562564634,0.6333333333333333,0.1455938697318007,0.8272727272727273,0.1479289940828402,0.6785714285714285,0.8400000000000001,0.2508934953538242,0.4285714285714285,0.5716783216783217,0.6659574468085108,0.1917808219178081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,Q4 Sportback e-tron 40,0.175,0.389865563598759,0.2296296296296296,0.1800766283524904,0.3727272727272727,0.3491124260355028,0.3214285714285714,0.4,0.2637598284488921,0.4285714285714285,0.4230769230769233,0.5425531914893615,0.4337899543378993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,Q4 Sportback e-tron 45,0.275,0.576008273009307,0.4037037037037037,0.2030651340996169,0.5454545454545454,0.2662721893491124,0.3611111111111111,0.4,0.274481772694782,0.4285714285714285,0.4230769230769233,0.5425531914893615,0.4337899543378993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,Q4 Sportback e-tron 45 quattro,0.275,0.576008273009307,0.502962962962963,0.2145593869731801,0.5,0.2603550295857987,0.3611111111111111,0.48,0.274481772694782,0.4285714285714285,0.4230769230769233,0.5425531914893615,0.4337899543378993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,Q4 Sportback e-tron 55 quattro,0.275,0.576008273009307,0.502962962962963,0.2145593869731801,0.509090909090909,0.1893491124260354,0.3611111111111111,0.48,0.274481772694782,0.4285714285714285,0.4230769230769233,0.5425531914893615,0.4337899543378993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
